artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),0.803,0.585,8,-5.861,1,0.0432,0.103,3.94E-06,0.0644,0.593,105.017,214480
Imagine Dragons,Believer,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347
Shawn Mendes,Stitches,0.746,0.754,1,-6.684,1,0.0676,0.0152,0,0.0486,0.746,149.882,206880
Camila Cabello,Havana (feat. Young Thug),0.765,0.523,2,-4.333,1,0.03,0.184,3.56E-05,0.132,0.394,104.988,217307
Sia,Cheap Thrills,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667
The Chainsmokers,Something Just Like This,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,247160
Camila Cabello,Crying in the Club,0.334,0.617,6,-5.834,0,0.383,0.334,0,0.163,0.603,85.227,216391
Shawn Mendes,I Know What You Did Last Summer,0.695,0.761,9,-4.582,0,0.0864,0.104,0,0.147,0.745,113.965,223853
Fifth Harmony,No Way,0.544,0.872,6,-6.119,1,0.314,0.184,0.000121,0.109,0.482,89.543,177267
Marian Hill,Back To Me,0.874,0.377,0,-6.36,1,0.0784,0.632,0.00082,0.0691,0.539,84.986,172467
Liam Payne,Strip That Down (feat. Quavo),0.873,0.495,6,-5.446,1,0.0518,0.199,0,0.0805,0.546,106.033,202062
Dinah Jane,Bottled Up,0.843,0.58,2,-4.271,1,0.0591,0.107,1.84E-05,0.0645,0.638,98.023,199301
Camila Cabello,I Have Questions,0.393,0.555,10,-6.096,0,0.276,0.405,0,0.105,0.22,167.999,221881
Fifth Harmony,Scared of Happy,0.714,0.837,6,-3.252,1,0.0398,0.177,2.09E-05,0.114,0.479,112.009,203533
Khalid,Love Lies (with Normani),0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,201707
Justin Bieber,Sorry,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,200787
Demi Lovato,Sorry Not Sorry,0.705,0.64,11,-6.928,0,0.225,0.0237,0,0.262,0.887,144.077,203760
Halsey,Strangers,0.69,0.784,11,-4.724,1,0.056,0.01,4.08E-05,0.22,0.284,109.969,221206
Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96E-05,0.14,0.106,117.97,247160
Normani,Slow Down (with Calvin Harris),0.853,0.693,0,-4.337,1,0.0524,0.0855,7.16E-05,0.11,0.547,124.049,205986
The Chainsmokers,Paris,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66E-06,0.0939,0.219,99.99,221507
Lauren Jauregui,Expectations,0.576,0.443,4,-7.477,0,0.0754,0.00923,1.88E-06,0.124,0.452,180.08,204067
Dinah Jane,Fix It,0.754,0.66,10,-4.56,0,0.0545,0.0554,0,0.0972,0.356,128.939,202003
Normani,Checklist (with Calvin Harris) (feat. WizKid),0.89,0.624,1,-3.966,1,0.103,0.0944,5.16E-06,0.0903,0.762,116.046,169814
Kygo,It Ain't Me (with Selena Gomez),0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781
Halsey,Now Or Never,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11E-06,0.131,0.447,110.03,214802
The Vamps,I Found A Girl,0.717,0.856,4,-4.68,1,0.0565,0.118,0,0.274,0.645,89.982,179440
Harry Styles,Sign of the Times,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,340707
Niall Horan,Slow Hands,0.735,0.425,0,-6.648,1,0.0466,0.011,0,0.055,0.848,85.894,188174
Demi Lovato,Tell Me You Love Me,0.538,0.6,6,-5.463,1,0.0489,0.0273,0,0.147,0.26,81.888,236987
Little Mix,No More Sad Songs (feat. Machine Gun Kelly),0.709,0.779,7,-3.534,0,0.0464,0.0777,7.47E-06,0.306,0.701,102.024,225200
Katy Perry,Chained To The Rhythm,0.446,0.8,0,-5.404,1,0.174,0.0814,0,0.199,0.474,189.89,237733
Dinah Jane,Retrograde,0.845,0.602,11,-7.368,0,0.257,0.0714,0.000146,0.157,0.635,82.525,202249
Normani,Waves (feat. 6LACK),0.578,0.588,0,-4.92,0,0.255,0.415,0,0.114,0.3,79.174,215671
Miley Cyrus,Malibu,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64E-05,0.0813,0.343,139.934,231907
Hailee Steinfeld,Most Girls,0.756,0.572,9,-7.019,1,0.0763,0.0478,0,0.0853,0.417,102.986,204400
Little Mix,Power (feat. Stormzy),0.586,0.865,7,-4.092,1,0.319,0.0345,5.55E-06,0.165,0.468,172.917,242293
Hayley Kiyoko,Girls Like Girls,0.611,0.701,6,-5.235,1,0.0248,0.0109,9.83E-06,0.0994,0.604,142.027,229656
Taylor Swift,...Ready For It?,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,208187
Lauren Jauregui,More Than That,0.595,0.442,4,-12.899,0,0.282,0.0709,0,0.139,0.297,48.702,158733
Cashmere Cat,Quit (feat. Ariana Grande),0.44,0.413,0,-7.365,0,0.0407,0.105,3.40E-05,0.0997,0.141,86.911,258188
Katy Perry,Bon appétit,0.799,0.794,6,-5.834,1,0.0628,0.13,8.23E-05,0.221,0.524,106.031,227813
Little Mix,Woman Like Me (feat. Nicki Minaj),0.754,0.854,5,-3.449,0,0.0608,0.177,0,0.0808,0.8,75.002,229720
ZAYN,Dusk Till Dawn - Radio Edit,0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000
One Direction,They Don't Know About Us,0.512,0.754,0,-6.031,1,0.0549,0.135,0,0.0881,0.336,147.89,201693
Evan Blum,Camila Cabello,0.682,0.46,9,-8.935,1,0.0373,0.395,6.59E-06,0.0741,0.8,166.125,96705
Ariana Grande,God is a woman,0.602,0.658,1,-5.934,1,0.0558,0.0233,6.00E-05,0.237,0.268,145.031,197547
Lady Gaga,The Cure,0.697,0.506,8,-4.863,1,0.0325,0.0792,0,0.0893,0.516,100.002,211364
Selena Gomez,Fetish (feat. Gucci Mane),0.708,0.618,2,-4.424,1,0.0592,0.0204,6.81E-06,0.062,0.265,123.013,186113
Demi Lovato,Sexy Dirty Love,0.59,0.748,4,-4.448,0,0.249,0.000957,2.19E-05,0.0552,0.831,105.114,213173
Justin Bieber,Friends (with BloodPop®),0.743,0.735,8,-5.337,1,0.0382,0.00389,0,0.304,0.631,104.979,189467
James Arthur,Say You Won't Let Go,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467
Iggy Azalea,Switch,0.914,0.63,4,-6.158,0,0.0557,0.0028,0.00921,0.391,0.376,109.993,189600
RedOne,Boom Boom,0.749,0.759,7,-8.065,0,0.0451,0.00453,0,0.202,0.584,110.004,248364
Ariana Grande,"thank u, next",0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320
Little Mix,Secret Love Song (feat. Jason Derulo),0.534,0.642,9,-3.971,1,0.0504,0.259,0,0.29,0.131,92.963,249813
Katy Perry,Swish Swish,0.839,0.705,5,-5.194,0,0.0445,0.0184,1.77E-05,0.102,0.575,119.954,242520
Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),0.63,0.53,0,-7.259,1,0.0434,0.4,0,0.177,0.417,108.038,225053
Chris Jauregui,Next Life,0.676,0.492,0,-7.856,0,0.0444,0.372,0,0.115,0.579,84.994,183589
Gia Woods,Only a Girl,0.627,0.472,4,-4.083,0,0.0588,0.144,0,0.0851,0.188,168.017,213159
Hayley Kiyoko,Cliffs Edge,0.689,0.601,0,-6.584,1,0.0464,0.00196,0.000504,0.104,0.654,79.982,213261
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.979,204173
Ariana Grande,breathin,0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37E-05,0.213,0.364,100.049,198160
Silk City,Electricity (with Dua Lipa),0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33E-06,0.338,0.505,118.159,238173
Zara Larsson,Ruin My Life,0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,190932
Miley Cyrus,Mother's Daughter,0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,219080
Taylor Swift,Gorgeous,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48E-06,0.213,0.451,92.027,209680
Rihanna,Love On The Brain,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08E-05,0.0789,0.378,172.006,224000
Bea Miller,yes girl,0.549,0.729,5,-4.997,0,0.0318,0.0618,0,0.193,0.241,98.933,231391
Louis Tomlinson,Just Like You,0.703,0.628,0,-5.914,1,0.203,0.364,0,0.384,0.471,138.032,205217
Sabrina Carpenter,Sue Me,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04E-05,0.138,0.609,157.184,179227
The Veronicas,On Your Side,0.593,0.78,7,-5.876,0,0.0736,0.0871,0,0.202,0.359,99.974,171693
Beatrice Eli,Girls,0.619,0.788,6,-5.368,1,0.0297,0.142,0,0.0699,0.626,103,183653
Jen Foster,I Didn't Just Kiss Her,0.713,0.634,7,-6.657,0,0.0788,0.0527,0,0.0614,0.536,76,181733
FLETCHER,Wasted Youth,0.465,0.575,11,-8.843,1,0.0645,0.0934,6.58E-05,0.11,0.161,152.009,218960
King Princess,Pussy Is God,0.739,0.621,11,-6.929,0,0.238,0.049,0.00369,0.0718,0.462,85.969,205533
ZAYN,No Candle No Light (feat. Nicki Minaj),0.619,0.752,5,-4.22,0,0.0496,0.0171,0.000107,0.0949,0.462,122.133,195027
Elektra,I Don´t Do Boys,0.721,0.654,7,-5.998,0,0.0925,0.138,0,0.126,0.437,140.029,169459
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36E-06,0.388,0.244,114.066,217467
Becky G,LBD,0.874,0.584,5,-4.898,0,0.0353,0.32,2.05E-05,0.134,0.601,122.007,203504
blackbear,Idfc,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04E-05,0.114,0.315,144.871,245172
Kelly Rowland,Kelly,0.583,0.633,6,-8.034,0,0.34,0.0284,0,0.0697,0.501,131.981,181733
Sizzy Rocket,Bestie,0.785,0.673,9,-6.288,1,0.04,0.0447,0,0.0848,0.626,123.019,209893
Holly Miranda,All I Want Is to Be Your Girl,0.468,0.964,0,-3.061,1,0.076,0.244,0,0.147,0.271,81.496,155027
girl in red,i wanna be your girlfriend,0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,204991
Blind Fury,I Want Her (feat. Georgia Harris),0.689,0.752,7,-4.337,0,0.046,0.00215,1.75E-06,0.185,0.626,130.046,182753
Jen Foster,She,0.592,0.762,7,-6.43,1,0.0236,0.497,1.57E-06,0.274,0.384,95.022,250800
Zolita,Explosion,0.543,0.361,2,-8.822,0,0.0329,0.805,0.0269,0.112,0.0934,120.117,204095
The Blow,"""Come On Petunia""",0.888,0.55,6,-7.711,1,0.115,0.291,0.0871,0.0961,0.788,109.998,226787
The Butchies,She's so Lovely,0.485,0.893,9,-4.013,1,0.0432,0.00706,6.29E-06,0.0953,0.797,158.919,202293
Various Artists,I Think She Knows,0.694,0.55,4,-9.469,0,0.0319,0.127,0.000773,0.168,0.371,114.966,184813
King Princess,Talia,0.401,0.507,2,-7.001,1,0.089,0.549,0,0.164,0.236,180.159,207720
Ani DiFranco,If It Isn't Her,0.698,0.484,0,-13.79,0,0.0717,0.795,1.93E-05,0.176,0.701,120.405,237827
Luna Blake,Horizon,0.38,0.414,0,-9.781,1,0.0371,0.263,0.0113,0.0736,0.222,116.319,203880
Shura,What's It Gonna Be?,0.567,0.928,8,-5.533,1,0.0616,0.118,1.04E-05,0.347,0.698,171.974,214754
Taylor Swift,Look What You Made Me Do,0.766,0.709,9,-6.471,0,0.123,0.204,1.41E-05,0.126,0.506,128.07,211853
Lost Kings,Look At Us Now (feat. Ally Brooke & A$AP Ferg),0.637,0.851,11,-3.501,1,0.0433,0.00211,0.0012,0.161,0.39,132.929,225687
Imagine Dragons,Whatever It Takes,0.672,0.655,10,-5.021,0,0.0311,0.0362,0,0.117,0.556,134.945,201240
Selena Gomez,Kill Em With Kindness,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87E-05,0.0973,0.398,120.012,217907
Zolita,Holy,0.731,0.492,2,-10.504,1,0.12,0.0255,8.52E-05,0.106,0.373,184.03,182073
Various Artists,I Need a Woman to Love,0.405,0.703,4,-7.885,0,0.0417,0.00702,5.44E-05,0.0728,0.734,183.897,268840
Various Artists,I Need a Woman to Love,0.405,0.703,4,-7.885,0,0.0417,0.00702,5.44E-05,0.0728,0.734,183.897,268840
Mary Lambert,Know Your Name,0.734,0.771,10,-4.859,1,0.0329,0.0127,0.000165,0.0827,0.796,145.942,244933
