song_id,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),0.803,0.585,8,-5.861,1,0.0432,0.103,3.94E-06,0.0644,0.593,105.017,214480
1,Imagine Dragons,Believer,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347
2,Shawn Mendes,Stitches,0.746,0.754,1,-6.681,1,0.067,0.0152,0,0.0486,0.764,149.882,206880
3,Camila Cabello,Havana (feat. Young Thug),0.765,0.523,2,-4.333,1,0.03,0.184,3.56E-05,0.132,0.394,104.988,217307
4,Sia,Cheap Thrills,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667
5,The Chainsmokers,Something Just Like This,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,247160
6,Camila Cabello,Crying in the Club,0.334,0.617,6,-5.834,0,0.383,0.334,0,0.163,0.603,85.227,216391
7,Shawn Mendes,I Know What You Did Last Summer,0.695,0.761,9,-4.582,0,0.0864,0.104,0,0.147,0.745,113.965,223853
8,Fifth Harmony,No Way,0.544,0.872,6,-6.119,1,0.314,0.184,0.000121,0.109,0.482,89.543,177267
9,Marian Hill,Back To Me,0.874,0.377,0,-6.36,1,0.0784,0.632,0.00082,0.0691,0.539,84.986,172467
10,Liam Payne,Strip That Down (feat. Quavo),0.873,0.495,6,-5.446,1,0.0518,0.199,0,0.0805,0.546,106.033,202062
11,Dinah Jane,Bottled Up,0.843,0.58,2,-4.271,1,0.0591,0.107,1.84E-05,0.0645,0.638,98.023,199301
12,Camila Cabello,I Have Questions,0.393,0.555,10,-6.096,0,0.276,0.405,0,0.105,0.22,167.999,221881
13,Fifth Harmony,Scared of Happy,0.714,0.837,6,-3.252,1,0.0398,0.177,2.09E-05,0.114,0.479,112.009,203533
14,Khalid,Love Lies (with Normani),0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,201707
15,Various Artists,Sorry,0.67,0.698,0,-5.215,0,0.0397,0.0797,0,0.322,0.427,100.04,200787
16,Demi Lovato,Sorry Not Sorry,0.705,0.64,11,-6.928,0,0.225,0.0237,0,0.262,0.887,144.077,203760
17,Halsey,Strangers,0.69,0.784,11,-4.724,1,0.056,0.01,4.08E-05,0.22,0.284,109.969,221206
18,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),0.735,0.451,0,-8.374,1,0.0585,0.0631,1.30E-05,0.325,0.0862,117.973,245200
19,Normani,Slow Down (with Calvin Harris),0.853,0.693,0,-4.337,1,0.0524,0.0855,7.16E-05,0.11,0.547,124.049,205986
20,The Chainsmokers,Paris,0.646,0.644,2,-6.763,1,0.031,0.0243,0,0.0888,0.251,99.999,221520
21,Lauren Jauregui,Expectations,0.576,0.443,4,-7.477,0,0.0754,0.00923,1.88E-06,0.124,0.452,180.08,204067
22,Dinah Jane,Fix It,0.754,0.66,10,-4.56,0,0.0545,0.0554,0,0.0972,0.356,128.939,202003
23,Normani,Checklist (with Calvin Harris) (feat. WizKid),0.89,0.624,1,-3.966,1,0.103,0.0944,5.16E-06,0.0903,0.762,116.046,169814
24,Kygo,It Ain't Me (with Selena Gomez),0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781
25,Halsey,Now Or Never,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11E-06,0.131,0.447,110.03,214802
26,The Vamps,I Found A Girl,0.717,0.856,4,-4.68,1,0.0565,0.118,0,0.274,0.645,89.982,179440
27,Harry Styles,Sign of the Times,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,340707
28,Niall Horan,Slow Hands,0.735,0.425,0,-6.648,1,0.0466,0.011,0,0.055,0.848,85.894,188174
29,Demi Lovato,Tell Me You Love Me,0.538,0.6,6,-5.463,1,0.0489,0.0273,0,0.147,0.26,81.888,236987
30,Little Mix,No More Sad Songs (feat. Machine Gun Kelly),0.709,0.779,7,-3.534,0,0.0464,0.0777,7.47E-06,0.306,0.701,102.024,225200
31,Katy Perry,Chained To The Rhythm,0.446,0.8,0,-5.404,1,0.174,0.0814,0,0.199,0.474,189.89,237733
32,Dinah Jane,Retrograde,0.845,0.602,11,-7.368,0,0.257,0.0714,0.000146,0.157,0.635,82.525,202249
33,Normani,Waves (feat. 6LACK),0.578,0.588,0,-4.92,0,0.255,0.415,0,0.114,0.3,79.174,215671
34,Miley Cyrus,Malibu,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64E-05,0.0813,0.343,139.934,231907
35,Hailee Steinfeld,Most Girls,0.756,0.572,9,-7.019,1,0.0763,0.0478,0,0.0853,0.417,102.986,204400
36,Little Mix,Power (feat. Stormzy),0.586,0.865,7,-4.092,1,0.319,0.0345,5.55E-06,0.165,0.468,172.917,242293
