artist,track,duration_ms,uri
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),214480,4tCtwWceOPWzenK2HAIJSb
Imagine Dragons,Believer,204347,0pqnGHJpmpxLKifKRmU6WP
Shawn Mendes,Stitches,206880,3zkWCteF82vJwv0hRLba76
Camila Cabello,Havana (feat. Young Thug),217307,1rfofaqEpACxVEHIZBJe6W
Sia,Cheap Thrills,211667,27SdWb2rFzO6GWiYDBTD9j
The Chainsmokers,Something Just Like This,247160,6RUKPb4LETWmmr3iAEQktW
Camila Cabello,Crying in the Club,216391,1SJtlNRJDeYHioymcvsqev
Shawn Mendes,I Know What You Did Last Summer,223853,2GyA33q5rti5IxkMQemRDH
Fifth Harmony,No Way,177267,22kXvw7mAvMvyZxPnhYzaa
Marian Hill,Back To Me,172467,3NpsflsHTAoand4Jl3ruP7
Liam Payne,Strip That Down (feat. Quavo),202062,29JrmE89KgRyCxBIzq2Ocw
Dinah Jane,Bottled Up,199301,2LHIwubgdCjbbBaoP9gkWB
Camila Cabello,I Have Questions,221881,3NgCzSW98SsqBdpYcnm4kv
Fifth Harmony,Scared of Happy,203533,2LNDflccYzJaardeFvyntT
Khalid,Love Lies (with Normani),201707,45Egmo7icyopuzJN0oMEdk
Justin Bieber,Sorry,200787,09CtPGIpYB4BrO8qb1RGsF
Demi Lovato,Sorry Not Sorry,203760,7gvd8xj4QgPqbQSsn5pV7d
Halsey,Strangers,221206,11EDhDAVDtGPoSar6ootYA
Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),247160,55n9yjI6qqXh5F2mYvUc2y
Normani,Slow Down (with Calvin Harris),205986,43tgC5pTYJpc5D3C9HRwEg
The Chainsmokers,Paris,221507,72jbDTw1piOOj770jWNeaG
Lauren Jauregui,Expectations,204067,1EXotCuzdXR34W1MoP6Um7
Dinah Jane,Fix It,202003,3AhqhEO6SgFf7UevM80G2T
Normani,Checklist (with Calvin Harris) (feat. WizKid),169814,5xesHO6GLWTrjsKOjAXRmf
Kygo,It Ain't Me (with Selena Gomez),220781,3eR23VReFzcdmS7TYCrhCe
Halsey,Now Or Never,214802,7i2DJ88J7jQ8K7zqFX2fW8
The Vamps,I Found A Girl,179440,7I8EGPtqTwlC0UlCAkpYtP
Harry Styles,Sign of the Times,340707,5Ohxk2dO5COHF1krpoPigN
Niall Horan,Slow Hands,188174,2cOUlop2ZakjOKe4WinesN
Demi Lovato,Tell Me You Love Me,236987,1MKZaAEx8RrzoQjHhVuvgs
Little Mix,No More Sad Songs (feat. Machine Gun Kelly),225200,1NXDq5UBby80GsRNjGXVwE
